Date,Close,Close,Rates
2017-07-27,6.72,6.72,1.07
2017-07-28,6.74,6.74,1.07
2017-07-31,6.61,6.61,1.07
2017-08-01,6.37,6.37,1.01
2017-08-02,6.2,6.2,1.01
2017-08-03,6.22,6.22,1.01
2017-08-04,5.83,5.83,1.01
2017-08-07,5.85,5.85,1.01
2017-08-08,5.81,5.81,1.01
2017-08-09,6.24,6.24,1.01
2017-08-10,5.14,5.14,1.01
2017-08-11,5.12,5.12,1.01
2017-08-14,5.36,5.36,1.01
2017-08-15,5.65,5.65,1.01
2017-08-16,5.5,5.5,1.01
2017-08-17,5.39,5.39,1.01
2017-08-18,5.31,5.31,1.01
2017-08-21,5.24,5.24,1.01
2017-08-22,5.25,5.25,1.01
2017-08-23,5.47,5.47,1.01
2017-08-24,5.48,5.48,1.01
2017-08-25,5.39,5.39,1.01
2017-08-28,5.38,5.38,1.01
2017-08-29,5.17,5.17,1.01
2017-08-30,5.33,5.33,1.01
2017-08-31,5.24,5.24,1.01
2017-09-01,5.22,5.22,1.03
2017-09-05,5.22,5.22,1.03
2017-09-06,5.47,5.47,1.03
2017-09-07,5.34,5.34,1.03
2017-09-08,5.38,5.38,1.03
2017-09-11,5.41,5.41,1.03
2017-09-12,5.37,5.37,1.03
2017-09-13,5.39,5.39,1.03
2017-09-14,5.65,5.65,1.03
2017-09-15,6.06,6.06,1.03
2017-09-18,5.67,5.67,1.03
2017-09-19,5.51,5.51,1.03
2017-09-20,5.22,5.22,1.03
2017-09-21,5.23,5.23,1.03
2017-09-22,5.19,5.19,1.03
2017-09-25,5.54,5.54,1.03
2017-09-26,5.8,5.8,1.03
2017-09-27,5.8,5.8,1.03
2017-09-28,5.59,5.59,1.03
2017-09-29,5.45,5.45,1.03
2017-10-02,5.44,5.44,1.07
2017-10-03,5.34,5.34,1.07
2017-10-04,5.34,5.34,1.07
2017-10-05,5.32,5.32,1.07
2017-10-06,5.25,5.25,1.07
2017-10-09,5.15,5.15,1.07
2017-10-10,5.09,5.09,1.07
2017-10-11,5.09,5.09,1.07
2017-10-12,5.08,5.08,1.07
2017-10-13,5.16,5.16,1.07
2017-10-16,5.25,5.25,1.07
2017-10-17,5.38,5.38,1.07
2017-10-18,5.3,5.3,1.07
2017-10-19,5.17,5.17,1.07
2017-10-20,5.08,5.08,1.07
2017-10-23,5.15,5.15,1.07
2017-10-24,5.08,5.08,1.07
2017-10-25,5.01,5.01,1.07
2017-10-26,5.03,5.03,1.07
2017-10-27,5.13,5.13,1.07
2017-10-30,5.01,5.01,1.07
2017-10-31,4.77,4.77,1.07
2017-11-01,4.67,4.67,1.23
2017-11-02,3.8,3.8,1.23
2017-11-03,3.79,3.79,1.23
2017-11-06,3.88,3.88,1.23
2017-11-07,3.05,3.05,1.23
2017-11-08,3.19,3.19,1.23
2017-11-09,3.09,3.09,1.23
2017-11-10,3.17,3.17,1.23
2017-11-13,3.06,3.06,1.23
2017-11-14,3.06,3.06,1.23
2017-11-15,3.09,3.09,1.23
2017-11-16,3.08,3.08,1.23
2017-11-17,3.04,3.04,1.23
2017-11-20,3.01,3.01,1.23
2017-11-21,2.99,2.99,1.23
2017-11-22,2.97,2.97,1.23
2017-11-24,3.13,3.13,1.23
2017-11-27,3.07,3.07,1.23
2017-11-28,3.05,3.05,1.23
