Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,10.000000,11.000000,10.000000,10.000000,10.000000,41055400
2017-06-30,9.980000,10.100000,9.170000,9.340000,9.340000,12405100
2017-07-03,9.480000,9.670000,8.880000,9.670000,9.670000,4270500
2017-07-05,9.600000,9.630000,8.780000,8.840000,8.840000,5103800
2017-07-06,8.830000,8.840000,7.950000,8.060000,8.060000,12546900
2017-07-07,8.110000,8.240000,7.360000,7.730000,7.730000,8199500
2017-07-10,7.810000,8.320000,7.620000,8.140000,8.140000,5450200
2017-07-11,7.600000,7.880000,7.080000,7.140000,7.140000,6573900
2017-07-12,7.130000,7.640000,7.100000,7.560000,7.560000,3515400
2017-07-13,7.360000,7.800000,7.355000,7.400000,7.400000,1991900
2017-07-14,7.310000,7.490000,7.200000,7.360000,7.360000,1575200
2017-07-17,6.880000,6.900000,6.450000,6.590000,6.590000,8325200
2017-07-18,6.570000,6.620000,6.230000,6.360000,6.360000,5093300
2017-07-19,6.390000,6.880000,6.350000,6.650000,6.650000,4015300
2017-07-20,6.600000,6.730000,6.420000,6.520000,6.520000,1506700
2017-07-21,6.490000,6.680000,6.450000,6.550000,6.550000,1107900
2017-07-24,7.220000,7.865000,7.000000,7.410000,7.410000,16071100
2017-07-25,7.810000,7.840000,7.390000,7.500000,7.500000,4631400
2017-07-26,7.421000,7.440000,6.750000,6.750000,6.750000,4532900
2017-07-27,6.900000,6.950000,6.570000,6.720000,6.720000,2106900
2017-07-28,6.880000,6.900000,6.650000,6.740000,6.740000,1938300
2017-07-31,6.890000,6.900000,6.590000,6.610000,6.610000,1396400
2017-08-01,6.670000,6.700000,6.300000,6.370000,6.370000,2117200
2017-08-02,6.370000,6.370000,6.050000,6.200000,6.200000,3832900
2017-08-03,6.250000,6.420000,6.050000,6.220000,6.220000,2781400
2017-08-04,6.270000,6.350000,5.700000,5.830000,5.830000,7592700
2017-08-07,5.900000,5.939000,5.800000,5.850000,5.850000,3644400
2017-08-08,5.800000,5.950000,5.730000,5.810000,5.810000,2329700
2017-08-09,5.720000,6.550000,5.510000,6.240000,6.240000,4903100
2017-08-10,5.380000,5.700000,5.030000,5.140000,5.140000,16616500
2017-08-11,5.080000,5.200000,5.000000,5.120000,5.120000,3298100
2017-08-14,5.080000,5.450000,5.030000,5.360000,5.360000,3222100
2017-08-15,5.450000,5.820000,5.310000,5.650000,5.650000,3199900
2017-08-16,5.680000,5.720000,5.470000,5.500000,5.500000,1543300
2017-08-17,5.460000,5.690000,5.330000,5.390000,5.390000,2565200
2017-08-18,5.300000,5.360000,5.120000,5.310000,5.310000,1520600
2017-08-21,5.290000,5.294000,5.080000,5.240000,5.240000,1700300
2017-08-22,5.140000,5.310000,5.110000,5.250000,5.250000,3166500
2017-08-23,5.200000,5.550000,5.160000,5.470000,5.470000,1761300
2017-08-24,5.440000,5.650000,5.420000,5.480000,5.480000,1682800
2017-08-25,5.450000,5.530000,5.330000,5.390000,5.390000,1180200
2017-08-28,5.350000,5.455000,5.184000,5.380000,5.380000,1100000
2017-08-29,5.300000,5.380000,5.160000,5.170000,5.170000,1594400
2017-08-30,5.200000,5.350000,5.180000,5.330000,5.330000,907000
2017-08-31,5.430000,5.470000,5.220000,5.240000,5.240000,1091500
2017-09-01,5.220000,5.258000,5.160000,5.220000,5.220000,1000700
2017-09-05,5.210000,5.350000,5.190000,5.220000,5.220000,998200
2017-09-06,5.200000,5.620000,5.180000,5.470000,5.470000,3237000
2017-09-07,5.490000,5.550000,5.272000,5.340000,5.340000,1779200
2017-09-08,5.380000,5.490000,5.310000,5.380000,5.380000,1508700
2017-09-11,5.440000,5.465000,5.310000,5.410000,5.410000,1179100
2017-09-12,5.450000,5.450000,5.280000,5.370000,5.370000,1740400
2017-09-13,5.320000,5.450000,5.300000,5.390000,5.390000,1055300
2017-09-14,5.390000,5.930000,5.390000,5.650000,5.650000,4657400
2017-09-15,5.790000,6.160000,5.710000,6.060000,6.060000,4242600
2017-09-18,6.240000,6.250000,5.650000,5.670000,5.670000,3237400
2017-09-19,5.660000,5.790000,5.360000,5.510000,5.510000,3617900
2017-09-20,5.500000,5.530000,5.200000,5.220000,5.220000,3375700
2017-09-21,5.550000,5.680000,5.200000,5.230000,5.230000,3507100
2017-09-22,5.240000,5.300000,5.120000,5.190000,5.190000,2737400
2017-09-25,5.320000,5.573000,5.230000,5.540000,5.540000,5739900
2017-09-26,5.600000,5.905000,5.515000,5.800000,5.800000,3541200
2017-09-27,5.890000,5.930000,5.510000,5.800000,5.800000,2499000
2017-09-28,5.800000,5.840000,5.460000,5.590000,5.590000,2125900
2017-09-29,5.560000,5.590000,5.440000,5.450000,5.450000,1341200
2017-10-02,5.420000,5.540000,5.400000,5.440000,5.440000,1149400
2017-10-03,5.410000,5.490000,5.305000,5.340000,5.340000,2435600
2017-10-04,5.370000,5.390000,5.280000,5.340000,5.340000,1099200
2017-10-05,5.340000,5.390000,5.250000,5.320000,5.320000,1373500
2017-10-06,5.300000,5.340000,5.250000,5.250000,5.250000,845400
2017-10-09,5.250000,5.293000,5.150000,5.150000,5.150000,2382300
2017-10-10,5.150000,5.230000,5.060000,5.090000,5.090000,1707000
2017-10-11,5.100000,5.140000,5.050000,5.090000,5.090000,937300
2017-10-12,5.090000,5.120000,5.030000,5.080000,5.080000,1044300
2017-10-13,5.100000,5.280000,5.060000,5.160000,5.160000,2225500
2017-10-16,5.250000,5.325000,5.150000,5.250000,5.250000,1695900
2017-10-17,5.270000,5.380000,5.200000,5.380000,5.380000,2381500
2017-10-18,5.370000,5.545000,5.290000,5.300000,5.300000,2144700
2017-10-19,5.220000,5.300000,5.100000,5.170000,5.170000,1933800
